"name";"display_name";"parent";"content";"content_short";"tags";"category";"priority"
"Inspiration";"";"";"Inspiration is a pseudo-item that can be generated when a Character has a strange, awesome, interesting or horrible expirience<br>?_Types__h2_<br>?_Intelect__h4_<br>Generated by inspecting machinery, reading technical or philosophical manuscripts or observing nature.<br>?_Beauty__h4_<br>Generated by experiencing beautiful paintings, objects or sceneries.<br>?_Bravery__h4_<br>Generated by experiencing bravery, in battle or otherwise.<br>?_Terror__h4_<br>Generated by seeing horrible things like massacres.<br>?__abilities?tags:Inspiration_Container_";"";"";"";100
"Intelligence";"";"Attributes";"?__rule?=tags:INT Derived_C§content-short_<br>?__rule?=tags:INT Test_C§content-short_";"A Character%SQ%s Cunning<br>Influences Actions per Turn, Perception, Maximum Mana and Mana Regeneration";"INT";"";3
"Jumping";"";"Tests";"Jumping is a STR Test<br>Height as well as distance depend on your body height and weight.<br>?__abilities?name=Jump Proficiency_Container_<br>After Jumping over a distance greater than your body height you must pass a ?__Break Fall__ Test or ?_fall to the ground_On the Ground__";"Jumping is STR Test<br>Jump Hight relates to body Height<br><br>Jumps with a distance or height less than 30% of your body height always succeed.";"STR Test";"";100
"Knock Back";"";"";"Knock Backs are always defined in relation to an average human (170cm, 70Kg), if the target is really heavy or really light the distance should be adjusted accordingly<br>?_An Ogre about ten times the weight of a human receives a knock back for 10 meters, due to his weight he only gets thrown for one meter__E_<br><br>If a Character is knocked over a distance greater than half their body height they must pass a CON Test or ?_fall to the ground_On the Ground__. This Tests Difficulty is increased by 1 for every additional half body length the target is knocked back (round up).<br>?_An about average human (180cm) is knocked back over a distance of two meters, this is about two half body lengths for them so they must pass a CON - 1 Test__E_<br><br>?_Knocked into a Wall__h2_<br>Targets knocked into a wall or another massive object before the end of their journey take Blunt Damage equal to the distance remaining (adjust for soft surfaces, spikes, etc.).<br>If the impact shatters the wall they still take damage equal to the amount the wall %DQ%slowed them down%DQ%<br>They must still pass the CON Test as if they had been knocked back the entire distance.";"Distance given for an average Human (170cm, 70Kg), should be adjusted for heavy or light targets<br><br>If Distance is greater than 1/2 body height must pass a CON Test or fall to the ground";"";"";100
"Leveling Up";"";"";"The cost of Leveling up a skill is 100 Experience Points (XP).<br>To Level up a skill you have to train for 14 hours per Level. You can not spend more than 4 hours a day training.";"Gain Skillpoints by spending XP";"level, xp, exp, expirience, skill";"";100
"Lie Detection";"";"Tests";"The suspected liar must pass a CHA Test with a modifier of +10 if they are telling the truth.<br>If they fail you must pass a INT Test, if you pass you believe correctly if they lied or not, if you fail you believe the opposite<br><br>The DM should perform both Tests and only tell you what you believe so a player can not deduce the truth by knowing whether the rolls succeeded or failed (always roll two dice even if the person isn%SQ%t lying)<br><br>?__abilities?name=Bluffing_Container_<br>?__abilities?name=Detect Lies_Container_";"Suspected Liar takes CHA Test (+10 if they tell the truth)<br>On Fail you take a INT Test, if you succeed you believe correctly, if you fail you believe incorectly<br><br>Hidden Roll";"CHA Test, INT Test";"";100
"lorem ipsum";"";"";"Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum";"Lorem Ipsum";"";"";0
"Magic Skills";"";"Skills";"Leveling up Skills in this category grants ?_Magical Prowess_rules?name=Prowess__<br><br>?_Elemental Magic__h_<br>?_Earth_symbols/bobbleEarth.png_I§ability?=skill=Earth_  ?__Earth Magic__<br>?_Water_symbols/bobbleWater.png_I§ability?=skill=Water_  ?__Water Magic__<br>?_Air_symbols/bobbleAir.png_I§ability?=skill=Air_  ?__Air Magic__<br>?_Fire_symbols/bobbleFire.png_I§ability?=skill=Fire_  ?__Fire Magic__<br><br>?_Metaphysical Magic__h_<br>?_Creation_symbols/bobbleCreation.png_I§ability?=skill=creation_  ?__Creation Magic__<br>?_Corruption_symbols/bobbleCorruption.png_I§ability?=skill=Corruption_  ?__Corruption Magic__<br>?_Divine_symbols/bobbleDivine.png_I§ability?=skill=Divine_  ?__Divine Magic__<br>?_Eldritch_symbols/bobbleEldritch.png_I§ability?=skill=Eldritch_  ?__Eldritch Magic__";"Skills that pertain to elemental, spiritual and arcane magic";"level, exp, xp, expirience, learning";"";1
"Mana Regeneration";"";"Attributes";"Mana Regeneration defines a Charcter%SQ%s ability to harvest Mana from the aether and channel it through their body<br><br>Mana Regen = (INT/2 + WIL)/2<br><br>?__rule?=name=Meditation_C§content-short_?__rule?=name=Rituals_C§content-short_<br>Abilities that increase Mana Regeneration<br>?__ability?=effect:Increases your Mana Regen_C_";"Defines how much mana is restored during MeditationA thousandth of the Mana that can be channeled in one hourMana Regen = (INT/2 + WIL)/2";"";"";100
"Meditation";"";"Basic Actions";"Meditate is a Channeled action.<br>You may channel any amount of AP, afterwards you regain (X * Mana Regen)/10 Mana, where X is the amount of AP spent<br><br>You may not Meditate while you have less than your maximum amount of Stamina<br>To regain Stamina you can ?__Rest__";"Channel to restore Mana";"Mana, Regen, Manaregen, Spells";"";100
"Melee Hit Chance";"";"Attributes";"The Base Chance for hitting an enemy in melee combat. Applies to armed and unarmed combat";"The Base Chance for hitting an enemy in melee combat<br><br>Melee Hit Chance = DEX/2 +  5";"MEL";"";9
"Mentor";"";"Leveling Up";"When studying with a Mentor the cost to Level up a skill is reduced by 25XP, this stacks with Affinity.<br>A Mentor is any Character (including Player Characters) that has a Skill Level at least 3 above your own and is willing to spend the entire training with you.<br><br>Skills from the ?_Craft_Craft Skills__ category can not be leveled between level 5 and 15 without a Mentor";"Mentors allow you to spend 25 XP less on leveling up by training with you.<br>Allow you to level Up Craft Skills beyond level 5";"level, exp, xp, expirience, learning";"";100
"Methods of Administration";"";"";"?_Ingestion__h3_<br>Forms: Potion, Food, Pills<br>Effects: None, ingestion is the default mode of administration<br>?_Injection__h3_<br>Forms: Needles, Blades, Stingers<br>Effects: Delay is reduced by 90%, dosage is increased by 100%<br>?_Dermal__h3_<br>Forms: Creams, Salves<br>Effect: Dosage is reduced by 50%, duration is increased by 100%<br>";"";"";"";100
"Movement";"";"";"?_Walking__h_<br>Your Character%SQ%s speed is defined by their Movement per Action (MPA). When you have Priority you may move any distance by paying AP equal to the distance moved (distance is always measured in dm) divided by your speed.<br>To move you declare the distance you want to move and pay the corresponding amount of AP.<br><br>You may move slower than your MPA at any time increasing AP cost per distance accordingly <br>(May be necessary to move through ?__Rough Terrain__ or sneak past enemies)<br>?_Sprinting__h_<br>You may move with up to twice your MPA by paying Stamina equal to your Weight Penalty for every 5m walked, rounded up<br>";"Rules about walking, sprinting etc.";"";"";100
"Movement per Action";"";"Attributes";"The distance in decimeters a Character can move by paying 1 AP<br><br>Movement per Action = (CON + DEX)/8 + 5<br><br>?__Movement_C§content-short_";"The distance in decimeters a Character can move by paying 1 AP<br><br>Movement per Action = (CON + DEX)/8 + 5";"MPA";"";7
"Multi Handed Combat";"";"Combat";"A Character may wield any number of weapons (or shields) at any time as long as they have enough appendages.<br>They may still only perform one Attack at a time and only use one weapon to do so, they can however decide what weapon to use, same goes for Parrying.<br><br>Using a Weapon or Shield in your Off Hand (non-dominant hand) reduces it%SQ%s Hit and Parry Chance by 3 each.<br><br>Each Weapon or Shield gets an additional Hit and Parry penalty of 2 for each other object you are wielding.<br>Two handed weapons cause a penalty of 5 to other weapons and shields instead (note that most people can not wield more than one two handed weapon)<br>Fist Weapons and Daggers are exempt from this (they neither receive nor give penalties).<br><br>?__ability?=tags:multicombat_C_";"Combat with more than one Weapon";"";"";4
"On the Ground";"";"Status Effects";"If a Character is on the ground they can only move at a quarter of their MPA, have disadvantage on attacking, parrying and dodging and can not sprint <br>A Character can stand up as an Action (if not otherwise inhibited) by paying 10AP<br>";"Has to spend 10 AP to stand up";"fallen, ground";"";100
"Ongoing Effects";"";"";"The duration of an ongoing effect is given in either time (minutes, hours, days) or turns.<br>If the duration of an effect is given as ?N Turns? the effect lasts until the affected Character has spent N * APT Action Points. <br>These points can be spent by any action as long as that action is still possible. If a Character would gain any AP beyond 20 the leftover AP are automatically subtracted from the remaining duration of any ongoing effects.<br>";"";"";"";100
"Overriding Rules";"";"";"The DM always has the last say in rules questions but should never override any rules in the book without a solid explanation.<br><br>?_Good Example:__h_<br>A dragon kills a goblin with his bite attack. The DM rules that this means that the dragon eats the goblin, because of this the goblin?s corpse can not be reanimated or looted.<br>This immerses the players further into the story, because it would make sense, that the dragon swallows the goblin whole instead of merely biting it to death.<br><br>?_Bad Example:__h_<br>The party tries to sneak into an enemy encampment. One of the players is an orc, even though he has the highest Constitution in the party and gets +3 to sneaking, the DM rules that orcs can not sneak and thus doesn?t even allow the orc player to perform a Test.<br>This is not only in harsh conflict with the rules but will also frustrate the orc player. They have spent XP on increasing the orc%SQ%s sneaking abilities and could have spent them on other Abilities instead. It also singles out the orc player, through no fault of their own, should the party decide to proceed without them.<br>";"";"";"";100
"Parry Chance";"";"Attributes";"The base Chance for Parrying an enemy attack<br><br>Parry Chance = STR/2 + 4<br><br>?__Parrying_C_";"The base Chance for Parrying an enemy attack<br><br>Parry Chance = STR/2 + 4<br>";"PAR, STR Derived";"";11
"Parrying";"";"Combat";"When another Character declares an attack against you you may choose to Parry (4 AP). You must do so before the attacker rolls to check if the attack lands. You can only Parry if you have enough AP to do so.<br><br>To parry roll a D20, the result must be equal to or below your Parry Chance minus the attackers Attack Force.<br>Your Parry Chance is the sum of your base ?__Parry Chance__, your bonus Parry Chance for that Weapon and the Weapons ?_Parry Bonus_Weapon Attributes__<br>The Enemies Attack Force is the sum of their base ?__Attack Force__ and their Weapons ?_Force Bonus_Weapon Attributes__<br><br><br>You may only Parry or Dodge each Attack once.<br><br>Projectiles can only be Parried with shields<br><br>?_Critical Parrying__h_<br>If you ?_Crit_Critical Success__ you may imediatly perform a counter Attack.<br>A counter attack can be any attack you can perform at the moment, including ?__Maneuvers__<br>The Counter Attack can%SQ%t be Parried or Dodged and it%SQ%s AP is reduced by the AP cost of the Parry (usually 4)<br>";"Negate an enemy attack against you<br>Reduced by enemy Force<br><br>Costs 4 AP";"";"";1
"Perception";"";"Attributes";"Determines how good a Character cna perceive there surroundings<br>Base value for all ?__Senses__<br><br>Perception = (CON + DEX + INT)/3";"Determines how good a Character cna perceive there surroundings<br>Base value for all Senses<br><br>Perception = (CON + DEX + INT)/3";"PER";"";8
"Physical Projectile";"";"Projectile";"Physical Projectiles are Projectiles that remain after hitting an obstacle.<br>Examples: Arrows, rocks, (improvised) throwing weapons<br>Examples for non-physiclal Projectiles: Fire Balls, Arcane Missiles";"Can be interacted with beyond blocking";"dodge, dodging, arrow, ranged, spell";"";100
"Pickpocketing";"";"";"Pickpocketing is the art of stealing an item off a person without them noticing, usually while the item is directly worn on their body<br><br>To pickpocket an item the thief rolls for FIN while the victim rolls for PER(usually touch).<br>If the thief rolled higher than the victim and was successful, they steal the item without the victim noticing.<br>If the thief does not succeed but still rolls higher than the victim, nothing happens.<br>If the victim rolls higher, they detect the thief.<br><br>Pickpocketing can also be used to (re-)place an item on the victim. Replacing refers to either returning an item to its owner or placing an item of the same kind in its place<br>?_Modifiers__h_<br>(For the thief)<br><br>Steal tiny item (e.g. a coin): -4<br>(Re-)place tiny item (e.g. a coin): -2<br>Steal or (re-)place medium item (e.g. a purse): -4<br>Steal or (re-)place large item (e.g. a sword): -8<br><br>Placing an entirely new item: -2<br><br>Item on wrist, finger, etc.: -4<br>Item in inside pocket: -8<br><br>Victim knows the thief is there: Disadvantage<br>Victim is distracted: Advantage<br><br>?__abilities?tags:pickpocketing_Container_";"Stealing an item off a person without them noticing<br>Thief rolls FIN, victim rolls PER";"FIN Derived, DEX Derived, Rogue, steal";"";100
"Piercing Injuries";"";"Injuries";"?_Natural Healing:__h3_<br>Heals by 1 HR every day up to 50%, will only heal by 1 per week afterwards.<br>?__ability?=tags:Heal Piercing_C_";"Heals by 1 HR every day up to 50%, will only heal by 1 HR per week afterwards.";"";"";100
"Piercing Wounds";"";"Wounds";"Dealt by Piercing and slashing wounds<br>?_Healing:__h3_<br>Heals by 1 HP every day up to 50%, will only heal by 1 per week afterwards.<br>?__ability?=tags:Heal Piercing_C_";"";"";"";100
"Potions";"";"";"?_List of all potions_potions?name:_Link_<br>?__rules?name=Methods of Administration_Container_<br>?_Notation:__h2_<br>A potions effect depends on its composition and dosage.<br>Composition describes the relative amount of each active ingredient e.g. ?__HHE_Alchemy_ means %DQ%two parts Hypnum one part Evigilis%DQ% and determines the type of its effect.<br>Dosage refers to the total amount of active ingredients in the potion e.g. ?_2_HHE_Alchemy_ means %DQ%two doses of two parts Hypnum one part Evigilis%DQ% and determines the strength of its effect.<br><br>?_Priority Chart:__h2_<br>When breaking ties use this order<br><br>?_Mortis_M_Alchemy_<br>?_Sangum_S_Alchemy_<br>?_Hypnum_H_Alchemy_<br>?_Apollium_A_Alchemy_<br>?_Evigilis_E_Alchemy_<br><br>?__abilities?name=Analyse Ingredients_Container_<br>?__abilities?name=Extract Tincture_Container_<br>?__abilities?name=Concentrate Tincture_Container_<br><br>?__abilities?tags:Potion_Container_<br>";"";"Alchemy";"";100
"Preparing";"";"Combat";"You can prepare a ?_Block_Blocking__, ?_Dodge_Dodging__ or ?_Parry_Parrying__.<br>To do so pay the AP cost associated with that action and declare the target of your action in advance. As long as you do not perform any other Actions you may perform the prepared Action against the chosen target for free, if you do you have ?__Advantage__ on that Action. <br><br>You may prepare to Parry ranged attacks coming from a specific direction, not just from a single target<br>";"Prepare to take an Action in advance<br>Have Advantage on the Action when you take it";"Advance, ready, prepare, parry, block, dodge";"";3
"Projectile";"";"";"";"Projectiles can be dodged and can not pass through obstacles";"dodge, dodging, arrow, ranged, spell";"";100
"Projectile Clusters";"";"Projectile";"Projectile Cluster act similar to normal projectiles in almost all ways except:<br>-They can only be Parried by shields even if you have an Ability that allows for Parrying Projectiles with other means<br>-If you Dodge a cluster, but the dodge was not critical, you only dodge an amount of projectiles equal to the difference between your roll and your Dodge Chance";"Similar to projectiles but harder to dodge";"";"";100
"Prowess";"";"";"Prowess works like a skill but cannot be learned on its own. There are three categories of Prowess: Melee, Ranged and Magical.<br>Every time you Level up a Skill in one of these categories you gain one Prowess point in that Category. The Points can be spend like skill points to unlock special Abilities<br><br>?__abilities?skill:prowess_C_";"";"skill, skill points, prowess, prowess points, leveling, learning, ability, abilities";"";100
"Ranged Hit Chance";"";"Attributes";"The Base Chance for hitting a target wit a ranged weapon";"The Base Chance for hitting a target with a ranged weapon<br><br>Ranged Hit Chance = DEX/2 + PER - 3<br>";"RAN";"";10
"Rest";"";"Basic Actions";"Rest is a Channeled action.<br>You may channel any amount of AP, afterwards you regain (X * Stamina Regen)/10 Stamina, where X is the amount of AP spent";"You can Rest to restore Stamina";"Stamina, Regen, Staminaregen, Sprinting, Winded";"";100
"Rituals";"";"Abilities";"To perform a Ritual you need all listed Equipment and Ingredients and fullfill all other Conditions.<br>The time a Ritual takes is either fixed or determined by the amount of Mana Requried (You produce up to 1000x Mana Regen Mana per hour), if both are given the longer one takes precidence.<br>If a Ritual is interrupted it must be started again, Ingredients are lost in this case.<br><br>After the time has passed the noted effect of the Ritual takes place.<br><br>Some Rituals have a variable duration instead, for example continuous effects or spells that increase in power. These Rituals do not have a required amount of Mana, instead they either require a minimum amount of Mana per hour or can accept any amount of Mana";"Spells that take large amounts of Mana and time and can not be performed in combat";"";"";100
"Rough Terrain";"";"Movement";"When moving through especially Rough Terrain (for example brambles, cracked stone or ice), if you move faster than your safe speed you may stumble.<br>The base value for safe speed is 5.<br>If you move with unsafe speed through rough terrain you must pass a CON + Safe Speed - Current Speed Test or fall to the ground (Remember that you do not have to move at full speed at all times)<br>";"If you move with unsafe speed (>5) you may stumble<br><br>Test: CON + Safe Speed - Current Speed";"";"";100
"Sense";"";"";"";"Senses are passive Abilities that allow you to perceive your surroundings differently.<br>(Based on Perception rolls)";"";"";100
"Serrated";"";"Weapon Modifiers";"Dealing piercing damage with a serrated weapon alway causes an injury even if the damage is below the targets injury threshold<br>This does not increase the damage dealt by the weapon";"Always wounds the target";"grevious wounds,";"";100
"Silenced";"";"";"Cannot talk or cast verbal spells";"Cannot talk or cast verbal spells";"";"";100
"Skills";"";"Leveling Up";"Skills";"Learned Skills that allow you to gain new Abilities";"level, exp, xp, expirience, learning";"";0
"Status Effects";"";"";"";"A collection of temporary and permanent Effects";"";"";100
"Strength";"";"Attributes";"A Character%SQ%s physical Strength<br><br>?__rules?tags:STR Derived_Container_<br>?__rules?tags:STR Test_Container_";"A Character%SQ%s physical StrengthInfluences Carry Limit, Maximum Health, Force and Parry Chance";"STR";"";0
"Tests";"";"";"Tests are the primary mechanical way a Character interacts with the world. Whenever any Character wishes to take an action beyond what could be expected in normal every day life they may have to pass a Test.<br><br>To pass a Test roll a twenty-sided die%COMMA% then check if the result is below the tests difficulty.<br>A Tests difficulty usually has one of your ?__Attributes__ as its base value as well as some modifiers that make the test more or less difficult.<br><br>Examples:<br><br>STR Test <br>The result must be less then or equal to your Strength<br><br>WIL - 5 test<br>The result must be less then or equal to your Willpower minus five<br><br>Sight Test <br>The result must be less then or equal to your Perception plus/minus any vision modifiers like darkness or a spell that improves your sight<br><br>There are two scenarios in which a Test is in order:<br><br>?_A) An effect orders a Character to pass a Test__h_<br>Perform the Test as stated in the effect only applying modifiers if absolutely necessary%COMMA% then resolve the rest of the Effect based on the outcome (e.g. apply a ?_Status Effect_Status Effects__ to your Character)<br><br>Examples:<br>%DQ%Every Character that does not pass a WIL Test takes 1d6 Arcane Damage%DQ%<br>%DQ%Pass a CON Test or ?_fall to the ground_on the ground__%DQ%<br><br>?_B) The DM thinks a Test is in order__h_<br>The DM decides what kind of base value (usually one of your Attributes) and what modifiers to use. Then you roll your d20 and tell the DM by how much you passed or didn%SQ%t pass the Test%COMMA% and they decide what happens next.<br>Note that the DM need not necessarily tell you for what you are rolling or what the modifiers are.<br><br>Examples where both the base value and the modifiers are known:<br><br>DM: %DQ%Roll INT to see if you recognize this plant%DQ%<br><br>DM: %DQ%If you want to open this door%COMMA% roll STR to see if you are strong enough%DQ%<br><br>Examples where only the base value is known:<br>DM: %DQ%Everybody%COMMA% roll for Perception to see if you can hear something%DQ%<br><br>Sometimes a hidden roll is in order%COMMA% so the player does not know if they actually passed the Test. This can help with roll playing%COMMA% since players do not know more than their Characters.<br><br>Example:<br>Player: %DQ%I want to know if this coin is worth anything%DQ%<br>(DM rolls in secret)<br>DM: %DQ%Whats your Intelligence?%DQ%<br>Player: %DQ%8%DQ%<br>DM: %DQ%You believe the coin to be highly valuable%DQ%<br><br>Below is a list of common Tests and sugested modifiers<br>";"To perform a Test roll a d20%COMMA% if the result is less than or equal to the given number you succeed the test%COMMA% otherwise you fail";"";"";100
"True Movement";"";"";"";"Can not move through obstacles<br>Affected by Rough Ground";"";"";100
"Undead";"";"Keywords";"Does not count as a living thing<br>Does not have Mana<br>Immune to Arcane Damage<br>Takes double Holy Damage";"Does not count as a living thingDoes not have ManaImmune to Arcane DamageTakes double Holy Damage";"";"";100
"Upgrade";"";"";"";"Upgrades Enhance Abilities and can be enabled and disabled at will while using that ability";"";"";100
"Voltaic";"";"";"Some spells and devices generate Charge in the atmosphere. Charge depletes by 1 at the beginning of each turn<br>The Hit Chance and the Fumble Chance of <i>Voltaic</i> spells are increased by the current amount of Charge.<br>There is no difference in wether you or somebody else produced the Charge when calculating Hit and Fumble Chance, the amount of charge is the same for all Characters";"Subtype: This spells Hit and Fumble Chance are affected by Charge";"Charge, Electricity, Electro, Electromancy, subtype, sub type, sub-type";"";100
"Willpower";"";"Attributes";"A Character%SQ%s Courage and Concentration<br>Influences Maximum Mana and Mana Regeneration<br>?__rules?tags:WIL Derived_Container_<br>?__rules?tags:WIL Test_Container_";"A Character%SQ%s Courage and Concentration<br>Influences Maximum Mana and Mana Regeneration";"WIL";"";4
"Wounds";"";"";"?__Piercing Wounds_C_";"";"";"";100
